File	Time	Song	Artist	Release	YouTube	Spotify	Unearthed
requestival_28	12:09am	Hey Ya!	Outkast	Hey Ya! 	https://www.youtube.com/results?search_query=Outkast%20Hey%20Ya!	https://play.spotify.com/search/results/artist:Outkast%20track:Hey%20Ya!	NA
requestival_28	12:18am	Swimming Pool	Eliza & The Delusionals	A State Of Living In An Objective Reality 	https://www.youtube.com/results?search_query=Eliza%20&%20The%20Delusionals%20Swimming%20Pool	https://play.spotify.com/search/results/artist:Eliza%20&%20The%20Delusionals%20track:Swimming%20Pool	https://www.triplejunearthed.com/node/4354591
requestival_28	12:26am	Battle Royal	Ecca Vandal	Battle Royal 	https://www.youtube.com/results?search_query=Ecca%20Vandal%20Battle%20Royal	https://play.spotify.com/search/results/artist:Ecca%20Vandal%20track:Battle%20Royal	https://www.triplejunearthed.com/node/3451081
requestival_28	12:34am	I Believe In A Thing Called Love	The Darkness	Permission To Land 	https://www.youtube.com/results?search_query=The%20Darkness%20I%20Believe%20In%20A%20Thing%20Called%20Love	https://play.spotify.com/search/results/artist:The%20Darkness%20track:I%20Believe%20In%20A%20Thing%20Called%20Love	NA
requestival_28	12:38am	Ausmusic Month Medley (triple j Like A Version 2013)	Illy	triple j's Like A Version 10 	https://www.youtube.com/results?search_query=Illy%20Ausmusic%20Month%20Medley%20(triple%20j%20Like%20A%20Version%202013)	https://play.spotify.com/search/results/artist:Illy%20track:Ausmusic%20Month%20Medley%20(triple%20j%20Like%20A%20Version%202013)	NA
requestival_28	12:50am	This Must Be The Place (Naive Melody)	Talking Heads	Speaking in Tongues 	https://www.youtube.com/results?search_query=Talking%20Heads%20This%20Must%20Be%20The%20Place%20(Naive%20Melody)	https://play.spotify.com/search/results/artist:Talking%20Heads%20track:This%20Must%20Be%20The%20Place%20(Naive%20Melody)	NA
requestival_28	12:56am	Paralysed	RedHook	Paralysed 	https://www.youtube.com/results?search_query=RedHook%20Paralysed	https://play.spotify.com/search/results/artist:RedHook%20track:Paralysed	https://www.triplejunearthed.com/node/7107131
requestival_28	1:03am	Echoes	Klaxons	Surfing The Void 	https://www.youtube.com/results?search_query=Klaxons%20Echoes	https://play.spotify.com/search/results/artist:Klaxons%20track:Echoes	NA
requestival_28	1:10am	Fight For Your Right To Party	Beastie Boys	Licensed To Ill 	https://www.youtube.com/results?search_query=Beastie%20Boys%20Fight%20For%20Your%20Right%20To%20Party	https://play.spotify.com/search/results/artist:Beastie%20Boys%20track:Fight%20For%20Your%20Right%20To%20Party	NA
requestival_28	1:17am	Red, Black and Yellow	Black Rock Band	Red, Black and Yellow 	https://www.youtube.com/results?search_query=Black%20Rock%20Band%20Red,%20Black%20and%20Yellow	https://play.spotify.com/search/results/artist:Black%20Rock%20Band%20track:Red,%20Black%20and%20Yellow	https://www.triplejunearthed.com/node/6241306
requestival_28	1:21am	No Other Way	Maddy Jane	No Other Way 	https://www.youtube.com/results?search_query=Maddy%20Jane%20No%20Other%20Way	https://play.spotify.com/search/results/artist:Maddy%20Jane%20track:No%20Other%20Way	https://www.triplejunearthed.com/node/267436
requestival_28	1:25am	BOOGIE	BROCKHAMPTON	SATURATION III 	https://www.youtube.com/results?search_query=BROCKHAMPTON%20BOOGIE	https://play.spotify.com/search/results/artist:BROCKHAMPTON%20track:BOOGIE	NA
